commonSpecies,commonSpeciesCount,indicatorSpecies,indicatorSpeciesScore,bioregion,clusterColor
Cebus albifrons,274,Saguinus inustus,1.7700729927007302,1,#d4ba76
Sapajus macrocephalus,211,Callicebus brunneus,1.7700729927007302,1,#d4ba76
Alouatta seniculus ssp. juara,179,Saguinus imperator,1.7700729927007302,1,#d4ba76
Saguinus fuscicollis,164,Aotus brumbacki,1.7700729927007302,1,#d4ba76
Ateles chamek,157,Pithecia albicans,1.7700729927007302,1,#d4ba76
Cebuella pygmaea,141,Saguinus melanoleucus,1.7700729927007302,1,#d4ba76
Saimiri sciureus,137,Callicebus stephennashi,1.7700729927007302,1,#d4ba76
Saimiri boliviensis,104,Mico nigriceps,1.7700729927007302,1,#d4ba76
Lagothrix cana,104,Callicebus aureipalatii,1.7700729927007302,1,#d4ba76
Sapajus apella,79,Lagothrix poeppigii,1.77007299270073,1,#d4ba76
Alouatta caraya,221,Callicebus pallescens,2.1945701357466065,2,#a9b0bb
Sapajus libidinosus,191,Alouatta ululata,2.1945701357466065,2,#a9b0bb
Callithrix jacchus,92,Sapajus cay,2.015421553236679,2,#a9b0bb
Callithrix penicillata,85,Mico melanurus,1.9240066943531893,2,#a9b0bb
Mico melanurus,64,Sapajus libidinosus,1.896664687455212,2,#a9b0bb
Sapajus cay,45,Alouatta caraya,1.8301886792452833,2,#a9b0bb
Callicebus pallescens,36,Callithrix penicillata,1.7272079772079771,2,#a9b0bb
Ateles chamek,28,Callithrix jacchus,1.5897673424306125,2,#a9b0bb
Sapajus apella,23,Callicebus donacophilus,1.4630467571644044,2,#a9b0bb
Callicebus nigrifrons,14,Callicebus nigrifrons,0.7145112069872671,2,#a9b0bb
Alouatta guariba,85,Callithrix geoffroyi,5.705882352941177,3,#db9e90
Sapajus nigritus,74,Callicebus personatus,5.705882352941177,3,#db9e90
Callithrix aurita,41,Brachyteles hypoxanthus,5.705882352941177,3,#db9e90
Callicebus nigrifrons,28,Leontopithecus caissara,5.705882352941177,3,#db9e90
Alouatta caraya,20,Leontopithecus chrysopygus,5.705882352941177,3,#db9e90
Callithrix geoffroyi,18,Callithrix flaviceps,5.705882352941177,3,#db9e90
Callicebus personatus,18,Leontopithecus rosalia,5.705882352941177,3,#db9e90
Sapajus robustus,14,Sapajus robustus,5.705882352941176,3,#db9e90
Callithrix penicillata,13,Callithrix aurita,5.570028011204482,3,#db9e90
Brachyteles hypoxanthus,10,Sapajus nigritus,5.277941176470589,3,#db9e90
Sapajus apella,378,Ateles marginatus,1.283068783068783,4,#a3bc84
Alouatta macconnelli,237,Chiropotes satanas,1.283068783068783,4,#a3bc84
Saimiri sciureus,206,Cebus kaapori,1.283068783068783,4,#a3bc84
Chiropotes chiropotes,102,Mico argentatus,1.283068783068783,4,#a3bc84
Ateles paniscus,82,Mico leucippe,1.283068783068783,4,#a3bc84
Pithecia pithecia,79,Callicebus baptista,1.283068783068783,4,#a3bc84
Callicebus moloch,65,Saguinus niger,1.2568837058632976,4,#a3bc84
Saguinus midas,64,Alouatta macconnelli,1.22123414292089,4,#a3bc84
Alouatta belzebul,63,Ateles paniscus,1.209329197834945,4,#a3bc84
Saguinus niger,48,Saguinus midas,1.1900927842956828,4,#a3bc84
Sapajus xanthosternos,28,Callithrix kuhlii,17.321428571428573,5,#93b7a2
Alouatta guariba,10,Callicebus coimbrai,17.321428571428573,5,#93b7a2
Callicebus barbarabrownae,10,Leontopithecus chrysomelas,17.321428571428573,5,#93b7a2
Callithrix penicillata,9,Callicebus barbarabrownae,14.43452380952381,5,#93b7a2
Sapajus libidinosus,7,Sapajus xanthosternos,12.435897435897434,5,#93b7a2
Callicebus melanochir,5,Callicebus melanochir,10.825892857142858,5,#93b7a2
Callithrix kuhlii,5,Sapajus flavius,2.474489795918367,5,#93b7a2
Callithrix jacchus,4,Alouatta guariba,1.7674927113702623,5,#93b7a2
Alouatta caraya,4,Callithrix penicillata,1.443452380952381,5,#93b7a2
Leontopithecus chrysomelas,3,Sapajus libidinosus,0.5486425339366516,5,#93b7a2
Ateles geoffroyi,54,Alouatta pigra,7.11033950617284,6,#cca2ae
Alouatta palliata,25,Ateles geoffroyi,6.139240506329114,6,#cca2ae
Alouatta pigra,19,Saimiri oerstedii,5.987654320987654,6,#cca2ae
Saimiri oerstedii,2,Alouatta palliata,4.777383766745468,6,#cca2ae
Ateles fusciceps,53,Saguinus geoffroyi,9.150943396226415,7,#a79d6f
Saguinus geoffroyi,24,Ateles fusciceps,7.822580645161291,7,#a79d6f
Alouatta palliata,10,Saguinus oedipus,4.5754716981132075,7,#a79d6f
Alouatta seniculus ssp. juara,9,Alouatta palliata,1.947009233239663,7,#a79d6f
Ateles geoffroyi,3,Saguinus nigricollis,1.5251572327044025,7,#a79d6f
Saguinus nigricollis,3,Lagothrix lugens,0.610062893081761,7,#a79d6f
Ateles belzebuth,3,Callicebus discolor,0.45754716981132076,7,#a79d6f
Saguinus oedipus,2,Alouatta seniculus ssp. juara,0.43119628568606144,7,#a79d6f
Lagothrix lagotricha,2,Ateles geoffroyi,0.34750417960353475,7,#a79d6f
Lagothrix lugens,1,Lagothrix lagotricha,0.3327615780445969,7,#a79d6f
Alouatta arctoidea,21,Alouatta arctoidea,14.26470588235294,8,#d4a47d
Ateles hybridus,7,Ateles hybridus,8.083333333333334,8,#d4a47d
Cebus albifrons,4,Cebus albifrons,0.30189853719265486,8,#d4a47d
Sapajus apella,1,Alouatta seniculus ssp. juara,0.12091747693841934,8,#d4a47d
Alouatta seniculus ssp. juara,1,Sapajus apella,0.047619047619047616,8,#d4a47d