"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","country","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","locality","county","coordinatePrecision","geoFlag","phylum","scientificNameAuthorship","typeStatus","sex","previousCatalogNumber"
"1","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","8207","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata","vanzolinii","Pithecia irrorata vanzolinii","Brasil","Acre","-72.7833333333333","-8.66666666666667","-72.7833333333333","-8.66666666666667","Artigo: Primate community structure at twenty western Amazonian flooded and unflooded forests - Peres C.A. 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1014","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 45- ramal AC-400 (8 km)",NA,NA,NA,NA,NA,NA,NA,NA
"3","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","1137","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-71.6638888888889","-9.52305555555555","-71.6638888888889","-9.52305555555555","Relatório: Análise ambiental complementar sobre a terra indígena Kampa e isolados do Rio Envira - Ferreira L.A. 1996","Terra Indígena Kampa do Rio Envira; Rio Envira","Feijó",NA,NA,NA,NA,NA,NA,NA
"4","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","1042","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-67.55","-9.71666666666667","-67.55","-9.71666666666667","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Projeto Humaitá",NA,NA,NA,NA,NA,NA,NA,NA
"5","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","1040","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Rio Acre; Rio Acre- cachoeira Capatari",NA,NA,NA,NA,NA,NA,NA,NA
"6","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","7012","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-68.8611111111111","-10.3969444444444","-68.8611111111111","-10.3969444444444","Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999","Trilha Venezuela",NA,NA,NA,NA,NA,NA,NA,NA
"7","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1001","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Rio Jurupari; Rio Jurupari- margem direita",NA,NA,NA,NA,NA,NA,NA,NA
"8","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","387","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Livro: The pictorial guide to the living primates - Rowe N.- Goodall J. - Mittermeier R.A. 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1005","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-70.25","-11.0333333333333","-70.25","-11.0333333333333","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","ESEC do Rio Acre; Rio Acre","Assis Brasil",NA,NA,NA,NA,NA,NA,NA
"10","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1003","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-72.775","-8.82916666666667","-72.775","-8.82916666666667","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Seringal Oriente",NA,NA,NA,NA,NA,NA,NA,NA
"11","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1020","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 52- ramal lado direito (9 km)",NA,NA,NA,NA,NA,NA,NA,NA
"12","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1024","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-317- km 100; Rio Xipamanu",NA,NA,NA,NA,NA,NA,NA,NA
"13","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1019","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 83- ramal Oco do Mundo (12 km)",NA,NA,NA,NA,NA,NA,NA,NA
"14","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","946","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 32- ramal lado direito (13 km)",NA,NA,NA,NA,NA,NA,NA,NA
"15","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","1034","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Estrada Aquiles Peret- km 14",NA,NA,NA,NA,NA,NA,NA,NA
"16","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1017","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 61- ramal lado direito",NA,NA,NA,NA,NA,NA,NA,NA
"17","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1026","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- AC-10- km 42- ramal do Bujari (6 km)",NA,NA,NA,NA,NA,NA,NA,NA
"18","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","7041","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-68.8563888888889","-10.5397222222222","-68.8563888888889","-10.5397222222222","Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999","Trilha Bom Levar",NA,NA,NA,NA,NA,NA,NA,NA
"19","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1028","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- AC-90- km 53; Riozinho do Andirá",NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1006","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-67.8","-9.96666666666667","-67.8","-9.96666666666667","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Rio Branco; Rioa Acre","Rio Branco",NA,NA,NA,NA,NA,NA,NA
"21","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","598","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-67.8","-9.96666666666667","-67.8","-9.96666666666667","Monografia: Levantamento preliminar de primatas cadastrados pelo IBAMA no município de Rio Branco - AC - Nóbrega M.F. 1997","Conjunto Solar; Rioa Acre","Rio Branco",NA,NA,NA,NA,NA,NA,NA
"22","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1025","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- AC-10- km 35- ramal lado esquerdo (6 km)",NA,NA,NA,NA,NA,NA,NA,NA
"23","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1030","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- AC-90- km 73- lado direito",NA,NA,NA,NA,NA,NA,NA,NA
"24","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1012","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 32- ramal lado direito (13 km)",NA,NA,NA,NA,NA,NA,NA,NA
"25","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1016","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 60- lado esquerdo",NA,NA,NA,NA,NA,NA,NA,NA
"26","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1015","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 53- ramal Santa Maria (18 km)",NA,NA,NA,NA,NA,NA,NA,NA
"27","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1018","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- BR-364- km 77- Fazenda Aquarius- lado direito",NA,NA,NA,NA,NA,NA,NA,NA
"28","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","4410","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Livro: Primatas do Brasil - Auricchio P. 1995","América do Sul- Acre",NA,NA,NA,NA,NA,NA,NA,NA
"29","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","215","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-68.725","-9.25","-68.725","-9.25","Relatório: Caracterização da fauna da bacia do Rio Branco/ Acre - Alho C.J.R. 1990","Rio Iaco; Rio Iaco",NA,NA,NA,NA,NA,NA,NA,NA
"30","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","628","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre","-68.25","-9.33333333333333","-68.25","-9.33333333333333","Dissertação: Caça de subsistência: sustentabilidade e padrões de uso entre seringueiros ribeirinhos e não-ribeiinhos do estado do Acre - Calouro A.M. 1995","Floresta Estadual do Antimary; Rio Antimari","Bujari",NA,NA,NA,NA,NA,NA,NA
"31","2010-03-08 13:53:11-03","SEMA-Acre","ZEE_MAM","1027","S","Animalia","Mammalia","Primates","Cebidae","Pithecia","irrorata",NA,"Pithecia irrorata","Brasil","Acre",NA,NA,"0.0","0.0","Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990","Propriedade rural- AC-10- Ramal do Mutum (4 km)",NA,NA,NA,NA,NA,NA,NA,NA
