"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","individualCount","lifeStage","continent","recordedByIDs","identifiedByIDs","vernacularName","locality","higherClassification","occurrenceRemarks","elevation","elevationAccuracy","institutionKey","institutionID","municipality","county","language","type","collectionID","identificationRemarks","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","recordNumber","nomenclaturalCode","higherGeography","endDayOfYear","startDayOfYear","accessRights","verbatimElevation","sex","dynamicProperties","identificationVerificationStatus","eventRemarks","locationAccordingTo","preparations","georeferencedDate","georeferencedBy","georeferenceProtocol","georeferenceVerificationStatus","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","georeferenceSources","collectionKey","fieldNumber","locationRemarks","ownerInstitutionCode","datasetID"
"1","859473388","Aotus nigriceps Dollman, 1909",-12.233333,-68.35,"gass84,incomis","96ca66b4-f762-11e1-a439-00145eb45e9a","ccd1ddc0-6c21-11de-8224-b8a03c50a862","a957a663-2f17-415f-b1c8-5cf6398df8ed","US","DWC_ARCHIVE","2021-03-28T15:06:09.097+00:00","2021-03-30T12:01:12.298+00:00",115,"2053a639-84c3-4be5-b8bc-96b6d88a976c","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Pando",1986,7,29,"1986-07-29T00:00:00","2013-08-07T00:00:00.000+00:00","2021-03-30T12:01:12.298+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BOL",NA,NA,NA,NA,"Bolivia (Plurinational State of)",NA,"urn:catalog:AMNH:Mammals:M-262649",NA,"1986-07-29",NA,"South America; Bolivia; Pando; Abuna; ; ; ; ; ; ; South America; Bolivia; Pando; Abuna; ; ; ; ; ; ; Chive","Mammals","859473388","urn:catalog:AMNH:Mammals:M-262649",NA,"A. W. Dickerman","M-262649",NA,"AMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",1,NA,"SOUTH_AMERICA","none","none",NA,"Chive","Animalia;Chordata;Mammalia;Primates;Aotinae;Aotus",NA,180,0,"dc02e848-9e1f-4dd0-8078-2eb60620d39b","urn:lsid:biocol.org:col:34925",NA,"Abuna","en","PhysicalObject",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","NATIVE","371","ICZN","South America;Bolivia;Pando;Abuna;;;;","210","210","http://www.vertnet.org/resources/norms.html","180 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1322366486","Aotus nigriceps Dollman, 1909",-9.17,-60.63,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:30:08.320+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Mato Grosso",1975,11,27,"1975-11-27T00:00:00",NA,"2021-09-08T13:30:08.320+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BRA",NA,NA,NA,NA,"Brazil",NA,"http://n2t.net/ark:/65665/3e4709e87-c569-4a45-9e5a-f42c465d5563",NA,"27 Nov 1975","NMNH Extant Biology",NA,"Mammals","1322366486","http://n2t.net/ark:/65665/3e4709e87-c569-4a45-9e5a-f42c465d5563",NA,"Collector Unknown","545850",NA,"USNM",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",1,NA,"SOUTH_AMERICA","none","none",NA,"Aripuana","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Aotidae",NA,NA,NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,NA,"PhysicalObject",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"HB-339",NA,"South America, Brazil, Mato Grosso","331","331",NA,NA,"FEMALE",NA,NA,NA,NA,"Skin; Skull",NA,NA,NA,NA,"Degrees Minutes Seconds",NA,NA,NA,NA,NA,"c0e59491-e319-4822-90bf-3e3c6fbd4a13",NA,NA,NA,NA
"3","665889526","Aotus nigriceps Dollman, 1909",-12.2,-71.133331,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:14.414+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Madre de Dios",1962,1,25,"1962-01-25T00:00:00",NA,"2021-03-30T10:22:14.414+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","32205e18-d2da-4bdd-8484-71a7a2d5a5a3",NA,NA,NA,NA,"Mammals","665889526","32205e18-d2da-4bdd-8484-71a7a2d5a5a3",NA,"C. Kalinowski","98037",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Altamira","Animalia Chordata Mammalia Primates Aotidae",NA,400,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Manu","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-2705",NA,"South America, Peru, Madre de Dios, Manu, Neotropics: Altamira",NA,"25","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,NA,"skin,skull,skel",NA,NA,"not recorded",NA,NA,NA,"2596905",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","47844","decimal degrees","FMNH","mammals-24-sep-2020"
"4","665913495","Aotus nigriceps Dollman, 1909",-12.65,-70.333336,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:11.132+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Madre de Dios",1958,10,13,"1958-10-13T00:00:00",NA,"2021-03-30T10:22:11.132+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","0219ac55-803d-4076-8072-b00e01cd776a",NA,NA,NA,NA,"Mammals","665913495","0219ac55-803d-4076-8072-b00e01cd776a",NA,"E. R. Blake","90019",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Rio Colorado, boca","Animalia Chordata Mammalia Primates Aotidae",NA,280,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Manu","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,NA,"South America, Peru, Madre de Dios, Manu, Neotropics: Rio Colorado, boca",NA,"13","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,NA,"skull",NA,NA,"not recorded",NA,NA,NA,"2588889",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","153429","decimal degrees","FMNH","mammals-24-sep-2020"
"5","665845899","Aotus nigriceps Dollman, 1909",-12.833333,-71.25,"gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:13.255+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Cuzco",1954,9,21,"1954-09-21T00:00:00",NA,"2021-03-30T10:22:13.255+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","c7763bbf-c3c3-4a4d-a293-3fa61e56b7f3",NA,NA,NA,NA,"Mammals","665845899","c7763bbf-c3c3-4a4d-a293-3fa61e56b7f3",NA,"C. Kalinowski","84227",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Hacienda Villa Carmen","Animalia Chordata Mammalia Primates Aotidae",NA,600,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Paucartambo","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-1639",NA,"South America, Peru, Cuzco, Paucartambo, Neotropics: Hacienda Villa Carmen",NA,"21","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,NA,"skin",NA,NA,"not recorded",NA,NA,NA,"2583100",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","21662","decimal degrees","FMNH","mammals-24-sep-2020"
"6","665845900","Aotus nigriceps Dollman, 1909",-12.833333,-71.25,"gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:15.015+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Cuzco",1954,9,21,"1954-09-21T00:00:00",NA,"2021-03-30T10:22:15.015+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","f17a2fb9-32d4-496e-8a74-7208fcd98df4",NA,NA,NA,NA,"Mammals","665845900","f17a2fb9-32d4-496e-8a74-7208fcd98df4",NA,"C. Kalinowski","84228",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Hacienda Villa Carmen","Animalia Chordata Mammalia Primates Aotidae",NA,600,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Paucartambo","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-1640",NA,"South America, Peru, Cuzco, Paucartambo, Neotropics: Hacienda Villa Carmen",NA,"21","http://fieldmuseum.org/about/copyright-information",NA,"FEMALE",NA,NA,NA,NA,"skin,skull",NA,NA,"not recorded",NA,NA,NA,"2583101",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","21663","decimal degrees","FMNH","mammals-24-sep-2020"
"7","665913524","Aotus nigriceps Dollman, 1909",-12.833333,-71.25,"gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:14.078+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Cuzco",1954,9,17,"1954-09-17T00:00:00",NA,"2021-03-30T10:22:14.078+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","1c811fcb-1be1-4258-832f-525668ed016c",NA,NA,NA,NA,"Mammals","665913524","1c811fcb-1be1-4258-832f-525668ed016c",NA,"C. Kalinowski","84226",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Hacienda Villa Carmen","Animalia Chordata Mammalia Primates Aotidae",NA,600,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Paucartambo","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-1615",NA,"South America, Peru, Cuzco, Paucartambo, Neotropics: Hacienda Villa Carmen",NA,"17","http://fieldmuseum.org/about/copyright-information",NA,"FEMALE",NA,NA,NA,NA,"skin,skull",NA,NA,"not recorded",NA,NA,NA,"2583099",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","3486","decimal degrees","FMNH","mammals-24-sep-2020"
"8","665837274","Aotus nigriceps Dollman, 1909",-13.25,-70.583336,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:15.012+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Cuzco",1953,6,21,"1953-06-21T00:00:00",NA,"2021-03-30T10:22:15.012+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","eab50a91-5a7c-4028-a176-991b2ce87a28",NA,NA,NA,NA,"Mammals","665837274","eab50a91-5a7c-4028-a176-991b2ce87a28",NA,"C. Kalinowski","75131",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Huajyumbe","Animalia Chordata Mammalia Primates Aotidae",NA,630,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Quispicanchi","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-618",NA,"South America, Peru, Cuzco, Quispicanchi, Neotropics: Huajyumbe",NA,"21","http://fieldmuseum.org/about/copyright-information",NA,"FEMALE",NA,NA,NA,NA,"skin,skull",NA,NA,"not recorded",NA,NA,NA,"2574004",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","80955","decimal degrees","FMNH","mammals-24-sep-2020"
"9","665837275","Aotus nigriceps Dollman, 1909",-13.25,-70.583336,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:15.176+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,NA,"Cuzco",1953,8,9,"1953-08-09T00:00:00",NA,"2021-03-30T10:22:15.176+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","bb8ded09-eb08-45e3-a26a-b815a7743d55",NA,NA,NA,NA,"Mammals","665837275","bb8ded09-eb08-45e3-a26a-b815a7743d55",NA,"C. Kalinowski","75132",NA,"FMNH",NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",NA,NA,"SOUTH_AMERICA","none","none",NA,"Huajyumbe","Animalia Chordata Mammalia Primates Aotidae",NA,630,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Quispicanchi","en","PhysicalObject","Mammals",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"CK-749",NA,"South America, Peru, Cuzco, Quispicanchi, Neotropics: Huajyumbe",NA,"9","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,NA,"skin,skull",NA,NA,"not recorded",NA,NA,NA,"2574005",NA,NA,NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","80956","decimal degrees","FMNH","mammals-24-sep-2020"
