"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","projectId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","coordinateUncertaintyInMeters","elevation","elevationAccuracy","stateProvince","year","month","day","eventDate","lastInterpreted","license","organismQuantity","organismQuantityType","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","http...rs.tdwg.org.dwc.terms.organismQuantity","county","verbatimCoordinateSystem","verbatimLocality","gbifID","occurrenceID","type","recordedBy","vernacularName","institutionCode","http...rs.tdwg.org.dwc.terms.organismQuantityType","samplingProtocol","verbatimElevation","name","lifeStage","dateIdentified","modified","references","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","rightsHolder","http...unknown.org.nick","verbatimEventDate","datasetName","collectionCode","taxonID","catalogNumber","http...unknown.org.occurrenceDetails","rights","eventTime","occurrenceRemarks","identifiedBy","identificationID","continent","institutionID","municipality","associatedReferences","locality","language","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","individualCount","sex","institutionKey","collectionKey","recordNumber","habitat","higherGeography","endDayOfYear","preparations","startDayOfYear","higherClassification","fieldNumber","locationRemarks","georeferenceProtocol","organismID","ownerInstitutionCode","datasetID","accessRights","collectionID","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.","nomenclaturalCode"
"1","1317321545","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:53.440+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,3,31,"1967-03-31T00:00:00","2021-09-08T13:29:53.440+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/305442e52-71b7-4888-ae3a-3b2325853b5e",NA,NA,"Degrees Minutes Seconds",NA,"1317321545","http://n2t.net/ark:/65665/305442e52-71b7-4888-ae3a-3b2325853b5e","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Mar 1967","NMNH Extant Biology","Mammals",NA,"406419",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"FEMALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17409","Tropical humid forest","South America, Venezuela, Amazonas","90","Skin; Skull","90","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1318078043","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:56.386+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,4,11,"1967-04-11T00:00:00","2021-09-08T13:29:56.386+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/326b60b76-cc6a-47d7-89b1-ecec02f3c5d0",NA,NA,"Degrees Minutes Seconds",NA,"1318078043","http://n2t.net/ark:/65665/326b60b76-cc6a-47d7-89b1-ecec02f3c5d0","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 Apr 1967","NMNH Extant Biology","Mammals",NA,"406426",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"MALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17838","Tropical humid forest","South America, Venezuela, Amazonas","101","Skin; Skull","101","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1320057125","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:21.062+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,4,11,"1967-04-11T00:00:00","2021-09-08T13:29:21.062+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/37e433b47-d731-4ae8-9b1a-1862d176a16f",NA,NA,"Degrees Minutes Seconds",NA,"1320057125","http://n2t.net/ark:/65665/37e433b47-d731-4ae8-9b1a-1862d176a16f","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Subadult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 Apr 1967","NMNH Extant Biology","Mammals",NA,"406427",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"FEMALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17839","Tropical humid forest","South America, Venezuela, Amazonas","101","Skin; Skull","101","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1321859984","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:29.804+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,4,7,"1967-04-07T00:00:00","2021-09-08T13:29:29.804+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/3ce0620b1-b44c-46c8-bb32-6c725e72facd",NA,NA,"Degrees Minutes Seconds",NA,"1321859984","http://n2t.net/ark:/65665/3ce0620b1-b44c-46c8-bb32-6c725e72facd","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Apr 1967","NMNH Extant Biology","Mammals",NA,"406422",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"MALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17643","Tropical humid forest","South America, Venezuela, Amazonas","97","Skin; Skull","97","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1321889622","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:28:46.195+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,4,11,"1967-04-11T00:00:00","2021-09-08T13:28:46.195+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/3cf56447b-9d4e-44fe-ae34-a4f10f5c671b",NA,NA,"Degrees Minutes Seconds",NA,"1321889622","http://n2t.net/ark:/65665/3cf56447b-9d4e-44fe-ae34-a4f10f5c671b","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 Apr 1967","NMNH Extant Biology","Mammals",NA,"406425",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"FEMALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17837","Tropical humid forest","South America, Venezuela, Amazonas","101","Skin; Skull","101","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1322342567","Cacajao melanocephalus (Humboldt, 1812)",2.25,-65.28,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:30:09.384+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,140,NA,"Amazonas",1967,4,7,"1967-04-07T00:00:00","2021-09-08T13:30:09.384+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/3e361aff1-dac0-49bd-8e94-1218b9525cce",NA,NA,"Degrees Minutes Seconds",NA,"1322342567","http://n2t.net/ark:/65665/3e361aff1-dac0-49bd-8e94-1218b9525cce","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Apr 1967","NMNH Extant Biology","Mammals",NA,"406423",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Rio Mavaca, 108 Km SSE Esmeralda",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"MALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","17644","Tropical humid forest","South America, Venezuela, Amazonas","97","Skin; Skull","97","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1319075799","Cacajao melanocephalus (Humboldt, 1812)",2.62,-66.32,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:11.839+00:00",215,NA,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436409,1,44,359,798,5486,2436408,2436409,2436409,"Cacajao melanocephalus (Humboldt, 1812)","Animalia","Chordata","Primates","Pitheciidae","Cacajao","Cacajao melanocephalus","Cacajao","melanocephalus","SPECIES","ACCEPTED","LC",NA,130,NA,"Amazonas",1967,6,2,"1967-06-02T00:00:00","2021-09-08T13:29:11.839+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)","http://n2t.net/ark:/65665/352dbc70d-30f6-4b90-8f2c-a8e554896beb",NA,NA,"Degrees Minutes Seconds",NA,"1319075799","http://n2t.net/ark:/65665/352dbc70d-30f6-4b90-8f2c-a8e554896beb","PhysicalObject","Smithsonian Venezuelan Project",NA,"USNM",NA,NA,NA,"Cacajao melanocephalus (Humboldt, 1812)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Jun 1967","NMNH Extant Biology","Mammals",NA,"495201",NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Capibara, 106 Km SW Esmeralda, Brazo Casiquiare",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"MALE","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","19481","Tropical humid forest","South America, Venezuela, Amazonas","153","Fluid","153","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
