"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","infraspecificEpithet","informationWithheld","occurrenceRemarks","individualCount","lifeStage","continent","vernacularName","locality","higherClassification","identifiedByIDs.type","identifiedByIDs.value","projectId","elevation","elevationAccuracy","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","samplingEffort","county","language","type","taxonRemarks","http...rs.tdwg.org.dwc.terms.organismQuantityType","nomenclaturalCode","georeferencedBy","endDayOfYear","georeferenceVerificationStatus","verbatimSRS","verbatimCoordinateSystem","pointRadiusSpatialFit","footprintSRS","locationID","startDayOfYear","footprintSpatialFit","samplingProtocol","recordedByIDs.type","recordedByIDs.value","municipality","locationRemarks","collectionID","originalNameUsage","sex","associatedReferences","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","institutionKey","collectionKey","higherGeography","accessRights","georeferencedDate","preparations","dynamicProperties","identificationVerificationStatus","locationAccordingTo","identificationRemarks","georeferenceProtocol","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","georeferenceSources","disposition","verbatimTaxonRank","recordNumber","fieldNotes","waterBody","fieldNumber","ownerInstitutionCode","datasetID","associatedOccurrences","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.","typeStatus"
"1","1563123742","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.122+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-06T00:00:00",NA,"Amazonas",2007,1,6,"2007-01-06T00:00:00",NA,"2021-03-09T12:28:33.122+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates25",NA,NA,NA,NA,"Primates","1563123742","Ome:Primates:Primates25",NA,"聲gela Maldonado","Primates25",NA,"Ome",NA,"7:00/7:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,8,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1","4:11:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1563123754","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.176+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-13T00:00:00",NA,"Amazonas",2007,1,13,"2007-01-13T00:00:00",NA,"2021-03-09T12:28:33.176+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates51",NA,NA,NA,NA,"Primates","1563123754","Ome:Primates:Primates51",NA,"聲gela Maldonado","Primates51",NA,"Ome",NA,"7:00/7:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,6,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1","3:02:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1563123759","Leontocebus nigricollis (Spix, 1823)",-3.548333,-69.88515,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.170+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-11T00:00:00",NA,"Amazonas",2007,1,11,"2007-01-11T00:00:00",NA,"2021-03-09T12:28:33.170+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates41",NA,NA,NA,NA,"Primates","1563123759","Ome:Primates:Primates41",NA,"聲gela Maldonado","Primates41",NA,"Ome",NA,"9:00/9:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,7,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,78.6,0,NA,NA,NA,NA,"900.136.118-1","4:21:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:H",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1563123766","Leontocebus nigricollis (Spix, 1823)",-3.548333,-69.88515,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.168+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-11T00:00:00",NA,"Amazonas",2007,1,11,"2007-01-11T00:00:00",NA,"2021-03-09T12:28:33.168+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates46",NA,NA,NA,NA,"Primates","1563123766","Ome:Primates:Primates46",NA,"聲gela Maldonado","Primates46",NA,"Ome",NA,"10:00/10:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,3,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,78.6,0,NA,NA,NA,NA,"900.136.118-1","4:21:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:H",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1563123768","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.176+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-12T00:00:00",NA,"Amazonas",2007,1,12,"2007-01-12T00:00:00",NA,"2021-03-09T12:28:33.176+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates50",NA,NA,NA,NA,"Primates","1563123768","Ome:Primates:Primates50",NA,"聲gela Maldonado","Primates50",NA,"Ome",NA,"14:00/14:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,2,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1",NA,"Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1563123770","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.163+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-10T00:00:00",NA,"Amazonas",2007,1,10,"2007-01-10T00:00:00",NA,"2021-03-09T12:28:33.163+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates35",NA,NA,NA,NA,"Primates","1563123770","Ome:Primates:Primates35",NA,"聲gela Maldonado","Primates35",NA,"Ome",NA,"8:00/8:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,4,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1","4:09:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1563123776","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.162+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-10T00:00:00",NA,"Amazonas",2007,1,10,"2007-01-10T00:00:00",NA,"2021-03-09T12:28:33.162+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates38",NA,NA,NA,NA,"Primates","1563123776","Ome:Primates:Primates38",NA,"聲gela Maldonado","Primates38",NA,"Ome",NA,"9:00/9:59","聲gela Maldonado",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,6,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1","4:09:00 h","Leticia","es","Evento",NA,NA,NA,"聲gela Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1563123784","Leontocebus nigricollis (Spix, 1823)",-3.57045,-69.887783,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.218+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-03T00:00:00",NA,"Amazonas",2007,1,3,"2007-01-03T00:00:00",NA,"2021-03-09T12:28:33.218+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates76",NA,NA,NA,NA,"Primates","1563123784","Ome:Primates:Primates76",NA,"Francisco del Aguila","Primates76",NA,"Ome",NA,"11:00/11:59","Francisco del Aguila",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,4,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,74.9,0,NA,NA,NA,NA,"900.136.118-1","1:00:00 h","Leticia","es","Evento",NA,NA,NA,"Francisco del Aguila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:M",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1563123788","Leontocebus nigricollis (Spix, 1823)",-3.548333,-69.88515,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.217+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-01T00:00:00",NA,"Amazonas",2007,1,1,"2007-01-01T00:00:00",NA,"2021-03-09T12:28:33.217+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates72",NA,NA,NA,NA,"Primates","1563123788","Ome:Primates:Primates72",NA,"Francisco del Aguila","Primates72",NA,"Ome",NA,"14:00/14:59","Francisco del Aguila",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,10,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,78.6,0,NA,NA,NA,NA,"900.136.118-1","2:21:00 h","Leticia","es","Evento",NA,NA,NA,"Francisco del Aguila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:H",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1563123791","Leontocebus nigricollis (Spix, 1823)",-3.548333,-69.88515,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.118+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-18T00:00:00",NA,"Amazonas",2007,1,18,"2007-01-18T00:00:00",NA,"2021-03-09T12:28:33.118+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates102",NA,NA,NA,NA,"Primates","1563123791","Ome:Primates:Primates102",NA,"Francisco del Aguila","Primates102",NA,"Ome",NA,"8:00/8:59","Francisco del Aguila",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,2,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,78.6,0,NA,NA,NA,NA,"900.136.118-1","4:44:00 h","Leticia","es","Evento",NA,NA,NA,"Francisco del Aguila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:H",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1563123799","Leontocebus nigricollis (Spix, 1823)",-3.548333,-69.88515,"cdround,gass84,colmano,inmano","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.222+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",8628111,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Leontocebus","nigricollis","SPECIES","ACCEPTED","LC","2007-01-16T00:00:00",NA,"Amazonas",2007,1,16,"2007-01-16T00:00:00",NA,"2021-03-09T12:28:33.222+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia",NA,"Ome:Primates:Primates97",NA,NA,NA,NA,"Primates","1563123799","Ome:Primates:Primates97",NA,"Francisco del Aguila","Primates97",NA,"Ome",NA,"10:00/10:59","Francisco del Aguila",NA,"Leontocebus nigricollis (Spix, 1823)",NA,NA,NA,6,NA,"SOUTH_AMERICA","Tamarin",NA,NA,NA,NA,NA,78.6,0,NA,NA,NA,NA,"900.136.118-1","6:50:00 h","Leticia","es","Evento",NA,NA,NA,"Francisco del Aguila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leticia","Trocha:H",NA,"Saguinus nigricollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
