"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","sex","continent","institutionKey","collectionKey","institutionID","fieldNumber","language","type","preparations","locationRemarks","recordNumber","higherGeography","georeferenceProtocol","locality","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","collectionID","higherClassification","elevation","download"
"Callicebus hoffmansi","2465197782","Plecturocebus hoffmannsi (Thomas, 1908)",-4.675732,-56.471901,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:40.019+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","Adult",9584627,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Plecturocebus","hoffmannsi","SPECIES","ACCEPTED","LC","2019-11-22T11:13:51",488,"Pará",2012,3,16,"2012-03-16T08:07:00","2019-12-01T18:01:55.000+00:00","2021-09-07T23:31:40.019+00:00","https://www.inaturalist.org/observations/35944269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Sidnei Dantas","35944269","siddantas","2012/03/16 8:07 AM -0300","iNaturalist research-grade observations","Itaituba - PA, Brasil","Observations","2465197782","https://www.inaturalist.org/observations/35944269","738192","Sidnei Dantas","35944269","https://www.inaturalist.org/observations/35944269","iNaturalist","© Sidnei Dantas some rights reserved","11:07:00Z","Sidnei Dantas","78543502","Plecturocebus hoffmannsi (Thomas, 1908)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Callicebus hoffmansi","665717211","Callicebus hoffmannsi Thomas, 1908",-3.36667,-55.23333,"cdround,gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:17.434+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Para",1959,1,22,"1959-01-22T00:00:00",NA,"2021-03-30T10:22:17.434+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","901ae8f1-ea88-4ece-8336-a135e13306e5",NA,NA,NA,NA,"Mammals","665717211","901ae8f1-ea88-4ece-8336-a135e13306e5",NA,"A. M. Olalla","92107",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","FEMALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","136773","en","PhysicalObject","skin,skull","decimal degrees","730","South America, Brazil, Para, Neotropics: Rio Tapajos, west bank, Arara","MaNIS georeferencing guidelines","Rio Tapajos, west bank, Arara","2590977","FMNH","22","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",NA,"succeded"
"Callicebus hoffmansi","665815751","Callicebus hoffmannsi Thomas, 1908",-3.3,-58.25,"gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:13.031+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Amazonas",1936,7,28,"1936-07-28T00:00:00",NA,"2021-03-30T10:22:13.031+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","9b9f9573-15e1-4d55-a52b-56c03761c50d",NA,NA,NA,NA,"Mammals","665815751","9b9f9573-15e1-4d55-a52b-56c03761c50d",NA,"A. M. Olalla","50858",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","FEMALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","28859","en","PhysicalObject","skin,skull,skel","decimal degrees","1106","South America, Brazil, Amazonas, Neotropics: Rio Amazonas, Lago do Baptista","not recorded","Rio Amazonas, Lago do Baptista","2550084","FMNH","28","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",25,"succeded"
"Callicebus hoffmansi","665815753","Callicebus hoffmannsi Thomas, 1908",-3.3,-58.25,"gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:13.085+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Amazonas",1936,7,25,"1936-07-25T00:00:00",NA,"2021-03-30T10:22:13.085+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","b219028b-64a8-4384-9151-9ea148360226",NA,NA,NA,NA,"Mammals","665815753","b219028b-64a8-4384-9151-9ea148360226",NA,"A. M. Olalla","50860",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","MALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","28861","en","PhysicalObject","skin,skull,skel","decimal degrees","1114","South America, Brazil, Amazonas, Neotropics: Rio Amazonas, Lago do Baptista","not recorded","Rio Amazonas, Lago do Baptista","2550086","FMNH","25","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",25,"succeded"
"Callicebus hoffmansi","665815754","Callicebus hoffmannsi Thomas, 1908",-3.3,-58.25,"gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:18.393+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Amazonas",1936,8,8,"1936-08-08T00:00:00",NA,"2021-03-30T10:22:18.393+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","e06dc94c-e40c-4b20-b943-bf76c5d643a6",NA,NA,NA,NA,"Mammals","665815754","e06dc94c-e40c-4b20-b943-bf76c5d643a6",NA,"A. M. Olalla","50861",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","FEMALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","28862","en","PhysicalObject","skin,skull,skel","decimal degrees","1287","South America, Brazil, Amazonas, Neotropics: Rio Amazonas, Lago do Baptista","not recorded","Rio Amazonas, Lago do Baptista","2550087","FMNH","8","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",25,"succeded"
"Callicebus hoffmansi","665815755","Callicebus hoffmannsi Thomas, 1908",-3.3,-58.25,"gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:14.755+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Amazonas",1936,8,9,"1936-08-09T00:00:00",NA,"2021-03-30T10:22:14.755+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","cf43a035-870d-4630-bfc5-2d99efed6de8",NA,NA,NA,NA,"Mammals","665815755","cf43a035-870d-4630-bfc5-2d99efed6de8",NA,"A. M. Olalla","50862",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","MALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","130107","en","PhysicalObject","skin,skull,mounted","decimal degrees","1290","South America, Brazil, Amazonas, Neotropics: Rio Amazonas, Lago do Baptista","not recorded","Rio Amazonas, Lago do Baptista","2550088","FMNH","9","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",25,"succeded"
"Callicebus hoffmansi","665815756","Callicebus hoffmannsi Thomas, 1908",-3.3,-58.25,"gass84,txmathi,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:12.697+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",NA,2436382,1,44,359,798,5486,8755067,9584627,9584627,"Plecturocebus hoffmannsi (Thomas, 1908)","Animalia","Chordata","Primates","Pitheciidae","Plecturocebus","Plecturocebus hoffmannsi","Callicebus","hoffmannsi","SPECIES","SYNONYM","LC",NA,NA,"Amazonas",1936,8,9,"1936-08-09T00:00:00",NA,"2021-03-30T10:22:12.697+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","5e04b51f-3bed-421b-890f-f85f0cf8ddb9",NA,NA,NA,NA,"Mammals","665815756","5e04b51f-3bed-421b-890f-f85f0cf8ddb9",NA,"A. M. Olalla","50863",NA,"FMNH",NA,NA,NA,NA,"Callicebus hoffmannsi Thomas, 1908","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","FEMALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","FMNH","28863","en","PhysicalObject","skin,skull,skel","decimal degrees","1292","South America, Brazil, Amazonas, Neotropics: Rio Amazonas, Lago do Baptista","not recorded","Rio Amazonas, Lago do Baptista","2550089","FMNH","9","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","Animalia Chordata Mammalia Primates Pitheciidae",25,"succeded"
